
      # codename prefixes 
      #   (NV[0-4][0-9A-Fa-f]{1,2}|G\d\d|C51|MCP\d[\dA]|G[TFKMP][0-9A-Fa-f]{3,4})
      #   (NV(0[1-5A]|1[01578AF]|2[058A]|3[014-6]|44A|4[0-4])|G(7[0-3]|8[046]|9[2468])|MCP(6[178]|7[3789A]|89)|GF1(0[0468]|1[04679])|C51|GT2(00|1[568])|GK(10[467]|110B?|208B?|20A|210)|GM(10[78]|20[046B])|GP10[24678])
NV01
NV02
NV03
NV04
NV05
NV0A
NV10
NV11
NV15
NV17
NV18
NV1A
NV1F
NV20
NV25
NV28
NV2A
NV30
NV31
NV34
NV35
NV36
NV40
NV41
NV42
NV43
NV44
NV46  G72
NV47  G70
NV49  G71
NV4A  NV44A
NV4B  G73
NV4C  MCP61
NV4E  C51
NV63  MCP73
NV67  MCP67
NV68  MCP68
NV50  G80
NV84  G84
NV86  G86
NV92  G92
NV94  G94
NV96  G96
NV98  G98
NVA0  GT200
NVA3  GT215
NVA5  GT216
NVA8  GT218
NVAA  MCP77/MCP78
NVAC  MCP79/MCP7A
NVAF  MCP89
NVC0  GF100
NVC1  GF108
NVC3  GF106
NVC4  GF104
NVC8  GF110
NVCE  GF114
NVCF  GF116
NVD7  GF117
NVD9  GF119
NVE4  GK104
NVE6  GK106
NVE7  GK107
NVF0  GK110
NVF1  GK110B
NV106 GK208B
NV108 GK208
NVEA  GK20A
NV??  GK210
NV117 GM107
NV118 GM108
NV120 GM200
NV124 GM204
NV126 GM206
NV12B GM20B
NV132 GP102
NV134 GP104
NV136 GP106
NV137 GP107
NV138 GP108
NV
NV140 GV100
NV162 TU102
NV164 TU104
NV166 TU106
NV167 TU117
NV168 TU116
NV172 GA102
NV174 GA104
NV176 GA106
NV177 GA107
NV192 AD102
NV193 AD103
NV194 AD104
NV196 AD106
NV197 AD107




